Type,Roll Speed [rpm],Rolling Torque [Nm],Roll Wear [min],Ambient Temp [K],Mill Process Temp [K],TWF,HDF,PWF,OSF,RNF,Power [W],Temp Diff [K],Probability
L,2153.9865489697745,69.94824251400743,131.11454490292292,305.5085265308859,313.78036123636775,0,0,1,0,0,15777.871401314562,8.271834705481865,0.9996852850847769
M,2093.5316412783827,48.35112321010567,265.28619619297746,297.57413356407244,306.9245906418564,0,0,1,0,0,10600.215987140195,9.350457077783972,0.8620984805081043
H,2362.4906018540123,76.48406640634781,61.79770802459261,306.934567097482,306.5206140682596,0,1,1,0,0,18922.114991243012,-0.4139530292223981,0.99968614903498
M,1233.117054042278,55.095487667363535,256.27374742756814,304.26943605164763,312.4995152981698,0,1,0,1,0,7114.574862662209,8.230079246522166,0.9987652671626609
H,2029.9701098733165,67.69356681354587,118.55689790324598,301.43746412509415,313.90818940788273,0,0,1,0,0,14390.1612052421,12.470725282788578,0.9986162110938615
M,2594.1068782775324,30.72768125711977,235.0282004388963,305.02049796703307,314.66732882109795,0,0,1,0,0,8347.304808140047,9.646830854064888,0.7307804121617167
H,2613.72333118589,64.3436619300766,192.5231472170456,302.3511690547852,314.1665514044504,0,0,1,0,0,17611.405080422603,11.815382349665185,0.9905008745249069
M,1176.1035444605218,36.00924466983007,16.668536886153333,309.5115263498345,303.6850014177892,0,1,0,0,0,4434.944491490519,-5.826524932045345,0.9695102836122734
H,1207.3170856765405,78.73639244693746,122.16427715117452,301.24847717916566,300.0298943342156,0,1,1,0,0,9954.638125904119,-1.218582844950049,0.9985886778051509
L,2087.5961203846277,65.59344304491069,64.98950708509278,303.7296058810192,306.9012227992071,0,0,1,0,0,14339.550143510289,3.171616918187908,0.9779431650227045
L,1402.9951089528345,72.44629617100614,177.4336535845489,306.49126464011096,308.83697214445243,0,1,1,1,0,10643.904321063885,2.345707504341476,0.9991166216041024
L,2544.9031840284806,63.035603572946975,102.74962955872526,299.7385829959651,302.7824983450856,0,0,1,0,0,16799.09161930379,3.043915349120539,0.9966286602040609
L,1238.2103678852332,20.324452090309318,148.6743324403007,308.5948639677531,303.00780965207156,0,1,0,0,0,2635.3718385901248,-5.5870543156815415,0.9927879041727955
L,2538.1062078322275,47.278413556275936,257.43690350224347,308.97104397387074,302.1386778847637,1,1,1,0,0,12566.122946236654,-6.83236608910704,0.9149537647408469
L,1365.141950709517,54.72710614691946,221.39853403039947,306.61673658767364,301.5582463991588,0,1,0,0,0,7823.641016179963,-5.058490188514838,0.997187509602259
H,1724.297936189036,72.51624578457212,29.186451709820155,299.1477799311463,305.01584851899696,0,0,1,0,0,13094.117648016047,5.868068587850644,0.997658980995013
H,1941.256529267725,66.4639177344852,41.68108161710639,295.44594363248365,300.07873917082003,0,0,1,0,0,13511.310818276495,4.6327955383363815,0.9699092035549399
L,1958.1374564770335,60.7826450212619,79.10130596507392,307.90159932560437,304.941352460178,0,1,1,0,0,12463.826299042243,-2.9602468654263703,0.7024212941180926
L,1302.8500764113196,56.13602809814639,5.055700029739754,307.2740695593656,308.6643206060226,0,1,0,0,0,7658.870770444658,1.3902510466569993,0.9976185756697312
L,2503.8637527704423,29.818633109010783,248.81875097642742,302.5260870542401,306.1263905058125,0,0,1,0,0,7818.564847182001,3.6003034515723584,0.5484115445591925
H,2501.8386117388545,65.98529030903194,152.71884666031647,295.62373486660726,303.42478873544286,0,0,1,0,0,17287.61334655444,7.801053868835595,0.999533768553936
H,1606.375180556513,63.026168477291804,221.82912316184925,297.73647795897375,306.32241315977905,0,0,1,1,0,10602.212619627024,8.585935200805295,0.9886701814869626
L,1979.9850649162072,67.5900582731901,113.30840781725523,308.85382693108255,303.22330297183794,0,1,1,0,0,14014.362704028743,-5.630523959244613,0.9972371831495236
H,2467.244632913949,60.76658710090595,44.980063894980326,306.7592971849378,310.794011271728,0,0,1,0,0,15700.217763960329,4.0347140867901885,0.885364619049335
L,1576.0010352805507,75.24480191858027,34.8641974859226,297.23090551712244,309.6596853654266,0,0,1,0,0,12418.28491357753,12.428779848304146,0.9997551479223209
H,1061.7435465242054,27.756371580702005,136.5004707027273,299.4455542644283,306.5612989071836,0,1,0,0,0,3086.1067238653386,7.11574464275526,0.9978162396454778
L,2500.5924448986316,61.38504553795802,18.489563053928116,297.8569904445027,302.55653229081315,0,0,1,0,0,16074.375712116238,4.699541846310467,0.9092145931607362
M,2391.114997186978,62.58179720254146,259.744276770781,296.3232290071476,310.0764428509538,0,0,1,1,0,15670.292832763746,13.753213843806236,0.9983373323689071
M,2323.0113219438695,78.53494701846682,45.50289557551154,305.0893929786885,300.35053764174387,0,1,1,0,0,19104.81776939655,-4.738855336944653,0.9998281576672138
M,1593.3503845657356,64.60347444280767,170.86317675804986,301.1843152783338,303.936392626102,0,1,1,0,0,10779.429660178752,2.752077347768193,0.98791232742748
H,1555.2667093139962,77.01377259756808,126.73208222952408,306.52714849277083,300.7070972340537,0,1,1,0,0,12543.01357247378,-5.820051258717115,0.9994000780824657
H,2712.289206877026,72.0417081300166,132.4424424639405,295.3337201946534,313.39244405049345,0,0,1,0,0,20462.02520324351,18.05872385584007,0.9996547751543955
L,1912.4618241377034,59.95343364794215,100.411026159736,296.82823162010493,309.60983341754974,0,0,1,0,0,12007.02607264281,12.781601797444807,0.7176623916022993
L,2714.0385969195677,58.645344557262995,142.58877252730818,296.18910013133166,301.57860190319786,0,0,1,0,0,16667.796128514117,5.3895017718662075,0.6966031324715604
M,1294.6531867764365,59.392978150567934,263.14176446059247,295.31568389280943,307.11796856983653,0,0,0,1,0,8052.2484296302155,11.802284677027103,0.7684892144596976
M,2760.4927410003565,58.895986743605945,268.72869676997556,300.1497521486143,307.205085163864,0,0,1,1,0,17025.54134996856,7.055333015249687,0.9964002895434948
M,1996.7483245699432,57.03043135352978,224.73024699188576,299.8193736505064,305.13775876550994,0,0,1,0,0,11925.005913777011,5.318385115003537,0.7165985339998213
M,1317.369873815353,25.359372164047734,260.41711437678464,305.80396579514013,301.2078287131286,1,1,0,0,0,3498.443326021266,-4.5961370820115235,0.9757840594818712
M,2779.818361626888,75.23195590304874,6.679949369945977,300.85895002343943,305.11598351650184,0,0,1,0,0,21900.165161657158,4.2570334930624085,0.9998275397958154
M,1003.2462091882167,51.659139681717015,3.699543788553661,307.60038656031253,310.7961024643858,0,1,0,0,0,5427.2935803699365,3.1957159040732677,0.9961662935152226
M,1123.565461322991,70.78851044876416,99.60345287971874,308.3530133389701,304.2976392007356,0,1,0,0,0,8328.940743068808,-4.05537413823447,0.9986689543377875
M,2209.6218920493575,60.859274474366984,18.961802943717526,305.57934628856407,305.52472593903985,0,1,1,0,0,14082.292240959607,-0.05462034952421391,0.6613202058938392
L,1990.767017532597,58.74832702276203,190.17093596614947,301.86886844037156,310.2979565025267,0,0,1,0,0,12247.418511385767,8.429088062155131,0.59148234254653
M,2104.9073426960267,69.50632392818255,239.9967589209083,299.82679617865523,300.8037994319732,0,1,1,1,0,15320.957966912838,0.977003253317946,0.9996100444214148
L,1081.784710984115,56.07895551699306,244.69557359259437,300.8705313389005,310.62541826045833,0,1,0,1,0,6352.861296430013,9.75488692155784,0.970267699002488
H,1397.735621220802,51.39719712872314,229.65285408498568,297.77862557301233,306.05267170911213,0,0,0,0,0,7523.0350858203155,8.274046136099798,0.8592397773952192
L,1011.4804716259573,46.20400364298942,230.57833816148178,308.3275750019396,314.363828553783,0,1,0,0,0,4894.019886942723,6.0362535518434015,0.9996200162540327
H,2620.5339056682437,58.969093896089554,150.97852729728672,304.1622436902518,300.2997474396167,0,1,1,0,0,16182.397159562484,-3.862496250635104,0.7530449875933144
M,1053.8687509270915,30.5718602906512,105.15277479996381,303.4691884682869,305.7179782429397,0,1,0,0,0,3373.9373292585683,2.248789774652778,0.9932141477009783
H,1979.9036201045446,62.229467018740294,128.50641773916604,296.7676326143311,314.09795302445235,0,0,1,0,0,12902.347929426265,17.33032041012126,0.9569841043689961
L,1320.3019504200242,24.835831193694894,10.328029347363445,309.9042776647807,303.27052961449584,0,1,0,0,0,3433.844165556809,-6.633748050284851,0.9903144920436319
L,1752.8528803776585,68.95027080881366,19.347556347502373,298.6951323042237,303.2870427504999,0,0,1,0,0,12656.396176174138,4.591910446276188,0.9885568024380836
M,1345.7197357726923,63.617423605421585,159.51720012994068,302.1088639280219,307.86354304264785,0,1,0,0,0,8965.186254105833,5.754679114625958,0.9972606271097124
L,2737.2584700257053,71.17783982339357,231.2080264227508,308.4522839536639,312.7725605236838,0,0,1,1,0,20402.774507001624,4.320276570019928,0.9999731270930508
L,2172.3688667286624,59.493865631103134,148.67099320422363,307.72274923549224,311.1390454609417,0,0,1,0,0,13534.255670140965,3.4162962254494573,0.9196126924557845
H,2756.760762511127,71.08866457939118,221.44793075463053,295.02698868707546,302.80301083446545,0,0,1,1,0,20522.395489220988,7.776022147389995,0.9998332938760681
M,1327.7803167601335,58.67940897011205,275.16986876516796,308.8842158581476,303.82388066235137,1,1,0,1,0,8159.068422676005,-5.060335195796256,0.9958005778704122
M,1164.3779636339098,23.39779219099887,128.1164713035509,302.9269206757716,301.9077193919872,0,1,0,0,0,2852.971774508879,-1.0192012837844118,0.9857120970628951
M,1466.1745486546502,71.04697625396463,200.48808741460434,299.90593474145345,311.7920901284145,0,0,1,1,0,10908.3708323036,11.886155386961036,0.9999309681277676
M,1288.745095023651,33.60550746550362,57.70043996807973,297.8379973427424,304.51425294956186,0,1,0,0,0,4535.300849033018,6.6762556068194385,0.9595145310215968
L,1166.4517970975226,21.788243053161853,45.470192987844214,303.38618070223976,309.19303874200955,0,1,0,0,0,2661.4457973284343,5.806858039769793,0.964512044398419
M,1345.5242502689127,50.810837345858104,254.99682787127477,307.70688234626573,308.217836356681,1,1,0,0,0,7159.397890001075,0.5109540104152757,0.9965752248694826
M,1350.0257506028183,26.319679805664066,73.11902467651034,306.11271376221606,310.55246695496686,0,1,0,0,0,3720.928046068846,4.4397531927508,0.9433849702584267
M,1307.5494131109026,76.88541976698014,204.53758679967245,308.7571607554915,305.0005949572142,0,1,1,1,0,10527.63254265309,-3.756565798277279,0.9998567838929756
H,2181.37904330948,48.06170933480895,250.17126536285215,300.7956999670461,309.7945336406483,0,0,1,0,0,10978.903481501175,8.998833673602178,0.9255549821945213
H,1801.698747706789,59.71175376623536,92.86133242221754,295.8140746038491,300.6771824787902,0,0,1,0,0,11266.022687703002,4.863107874941079,0.6290407488408378
M,2117.937874366976,66.44544848814304,168.01146347755355,303.3009929589426,300.87666681648403,0,1,1,0,0,14736.931738597521,-2.42432614245854,0.9968006625178802
H,1251.287833237267,47.6572007170217,222.07346413972576,307.5687128720768,303.5219144821959,0,1,0,0,0,6244.740111414977,-4.046798389880905,0.9959709359198121
L,1309.730610648784,66.0175688087062,176.06044764934987,300.5104621461081,314.5499235862069,0,0,0,1,0,9054.617786250625,14.039461440098762,0.7534179483106597
H,2591.6130679987164,79.2570517157113,229.2200571162225,295.4523766026073,306.74668823733174,0,0,1,1,0,21509.815840161955,11.294311634724465,0.9999479503346264
L,1969.4931968169699,62.509498023703635,67.54009477020523,307.0780596903029,314.0218933590984,0,0,1,0,0,12892.261748461038,6.943833668795492,0.9932111787562603
